,6615,6703,6688,6613
6659,113.934646,250.858128,289.638076,139.263694
6944,176.217581,151.595757,173.718272,203.186904
6501,79.231638,226.442216,266.6573,100.210227
6251,103.295671,247.265522,293.50965,125.635064
6818,187.720494,33.830969,163.273017,161.174928
6602,114.649103,251.29208,289.556153,139.466859
6814,88.015695,227.640481,276.208944,107.986523
6511,82.1888,219.5829,267.3174,99.5343
6847,100.926424,249.944708,262.451708,123.648727
6440,84.607245,225.361726,272.935083,105.059343
6714,100.653247,241.352475,286.882765,119.094126
6566,122.47546,262.207138,310.277434,141.277544
6732,92.739233,235.04362,282.513474,114.865791
6387,86.243081,226.494095,274.127456,106.078428
6740,101.916596,240.689215,288.850006,120.671098
6512,78.932545,216.195749,264.393853,96.390415
6463,86.203917,225.541375,272.269033,105.643768
6344,123.923411,258.327343,305.595376,139.325397
6727,191.10798,194.098097,1.273482,173.31061
6948,76.426402,214.316412,261.976466,93.912142
6352,99.624065,244.520348,292.667705,123.579058
6561,84.745609,224.963391,272.029788,104.685606
6820,124.367536,269.354127,316.699015,147.638695
6368,89.272087,230.084237,276.729649,108.742877
6627,134.816086,229.05565,265.868869,143.038436
6933,142.526088,288.088034,336.096748,167.845169
6730,163.923683,246.519131,330.211948,187.898828
6610,242.29798,385.39623,432.526916,266.564542
6433,85.100126,224.686946,272.767658,105.035959
7002,95.780261,238.921272,286.025116,118.579946
6841,118.880937,257.995941,306.292509,138.240464
7024,92.041781,232.174231,278.950753,111.338975
6940,84.655862,224.734323,272.768859,104.524428
6988,31.471982,124.852928,170.995559,14.946052
6090,243.078702,153.843077,178.965248,243.732509
6415,133.626617,275.304413,319.307533,163.48169
7028,213.029799,70.408251,92.116035,192.902666
6967,87.674804,223.981328,272.307339,105.198635
6982,183.614965,44.955819,127.390633,167.786714
6715,93.397851,259.971023,308.967163,117.184579
6546,44.698516,174.735092,221.109157,56.100163
6427,190.842527,120.879979,1.346642,173.971828
6253,89.135796,232.746861,281.513044,111.480921
6781,21.824041,156.671106,203.704474,36.510108
6477,206.585568,69.212991,92.805849,189.595664
7003,82.031583,219.530519,267.200114,99.60292
6543,90.949647,231.521949,278.79324,111.507061
6669,101.888302,245.362832,291.175324,131.236666
6366,121.470436,257.155537,301.621453,150.655179
6443,80.803186,223.428279,272.49859,103.457252
6677,116.712014,256.409139,304.65653,136.698081
7034,92.111872,234.899601,281.7541,113.692168
6908,92.864983,234.43082,282.039349,115.874007
6338,115.014057,259.871524,305.663648,135.422855
6945,76.096265,213.606646,259.999842,93.335848
6374,82.43744,219.926603,267.691862,99.884494
