,6615,6703,6688,6613
6466,201.976906,124.211316,145.240023,232.604206
6632,82.710351,219.92796,267.801135,100.182932
6894,94.978607,232.367399,280.28781,112.385377
6819,99.707477,241.407929,289.336296,119.581858
6360,92.757915,232.038694,280.150548,112.060885
7037,97.097987,262.73292,353.216572,116.10952
6604,91.864982,235.311637,284.295102,113.888126
6116,103.309428,241.802854,300.690492,143.11453
6198,116.013913,258.430774,308.215054,139.325213
6336,85.784985,225.583618,272.726061,104.972027
6580,151.437917,4.325658,145.604503,133.505388
6054,144.747428,258.0167,297.423965,155.016378
6970,206.997184,69.376889,92.43003,189.595191
7053,105.619422,244.974601,293.236547,124.80112
6635,85.198501,222.415093,270.264818,102.918567
6831,65.526453,99.696739,137.229452,46.607435
7019,121.215502,258.202268,295.973197,146.084735
6585,1.244321,144.632905,192.522433,24.729532
6041,128.535888,260.66983,302.139301,140.485519
6111,109.29677,248.679212,305.538352,129.009926
6304,97.113494,235.788915,283.075667,115.21578
6249,89.64654,230.083539,276.958751,109.853141
6453,116.343046,256.054904,305.058455,133.686011
6292,42.981304,142.710691,180.293237,21.558612
6589,86.246476,224.807404,273.150713,105.002912
6600,85.394106,224.406212,272.501522,104.716445
6663,93.794333,247.217478,289.331777,116.032431
7033,92.324561,230.955675,279.30531,110.94448
6925,43.444973,140.66695,179.073483,23.01233
6712,80.223435,218.467917,266.108952,98.468739
6805,104.388195,246.852717,294.990993,126.983595
6699,76.756978,213.516224,262.485367,93.72279
6025,82.726156,226.559169,273.141053,106.484105
6558,84.880624,224.55649,272.248867,104.902641
6393,66.916433,199.135679,245.816581,79.223141
6471,76.202576,213.631767,260.943482,93.887194
7000,88.976313,239.140564,293.250365,109.082685
6634,29.44163,140.818247,187.998274,18.987752
6504,85.964642,225.562466,272.30484,105.690141
7057,145.16221,279.916685,319.729113,143.679944
6991,1.007144,145.023439,191.782163,24.538237
6117,93.143188,232.060777,280.335251,112.14623
6039,98.315006,237.42805,285.655209,118.337761
6962,188.166746,242.674318,282.221581,218.515625
6864,107.287497,244.375823,292.422512,124.343258
6448,99.801388,239.184147,287.047999,119.413425
6755,160.760625,251.347848,334.762686,182.819992
6683,87.729377,228.64393,276.012206,107.721096
6660,200.749558,117.99653,1.600549,173.184778
6821,195.9285,286.1211,327.6724,182.9725
6631,142.79638,1.35476,120.800918,125.561565
6547,91.782464,231.210453,278.901786,111.366403
6507,86.121346,224.700782,272.878081,104.79949
6951,79.988381,234.353545,277.914409,101.151943
6777,229.427548,311.230527,342.962533,261.80848
6390,91.364735,230.54712,278.837068,111.078768
6633,150.426646,245.025431,283.53534,160.58568
6637,141.12356,249.754833,287.760782,161.265725
6571,85.073974,226.286441,273.905364,105.974036
6087,77.121543,214.165043,262.162159,94.380927
6447,91.452325,233.937874,281.979465,111.384239
6824,95.667614,241.907578,270.194673,114.34547
6348,79.961607,224.707022,268.073393,100.583869
6736,83.319542,225.851431,275.046549,105.786584
6859,14.1508,147.13288,185.61619,23.19647
6370,151.394841,4.506385,122.373864,130.443232
6320,87.223763,230.860849,277.118004,109.25583
6895,104.738762,246.363584,293.233756,134.714678
7017,91.393407,234.467911,282.721601,113.596579
6987,15.742833,130.843341,178.823082,10.776868
6738,76.384929,214.552016,261.207652,93.721229
6553,120.27429,204.516097,242.911685,137.570429
6266,22.615539,152.596452,194.070043,34.467303
6389,29.288486,160.057874,202.866565,41.757763
6977,112.851825,250.446595,288.095933,137.799
6202,92.590654,234.413581,282.312938,114.456003
6789,89.66368,229.354069,277.347051,109.314717
6989,65.099673,98.86701,137.177565,46.351243
6237,83.069725,220.271387,268.070234,100.318527
6768,85.220662,226.526594,274.657799,106.058055
6953,227.255963,134.203922,158.69185,253.776375
7025,82.711743,220.057717,267.967848,100.004849
6770,1.200022,144.907742,192.792146,24.705431
6893,113.047921,253.340913,300.943678,133.326852
6737,82.80814,220.230999,267.868206,100.430898
6417,116.034817,261.604928,304.781536,138.109091
6954,272.750155,127.139424,149.20908,251.911516
6279,262.505668,145.823741,169.617992,262.778164
6514,82.80663,221.002513,268.71036,100.460162
6710,13.566222,149.57885,196.471029,28.530741
6418,19.955468,149.488786,196.380539,28.66251
6424,96.937882,237.406659,285.461857,122.74372
6227,90.391437,227.821649,275.402863,107.821969
6851,99.790371,239.996649,285.138598,120.420709
6616,147.844162,171.541589,338.185568,171.911009
6992,62.377836,104.798283,144.683542,39.544028
6503,190.567633,120.492655,1.154755,173.591445
6734,102.179847,245.883997,293.212564,125.109347
6495,82.238385,226.62268,272.699609,104.891546
6331,93.427778,230.467642,278.758485,110.495709
6849,202.79385,132.292023,13.020271,185.155911
6480,61.703644,107.280168,150.640851,50.128436
6620,85.737257,233.081605,342.626651,105.702036
6167,62.993459,201.958612,240.030915,74.809436
6656,93.750849,234.242809,280.996567,113.089868
6462,14.347173,159.60122,206.341688,28.72899
6978,58.796788,188.745879,234.24554,81.612672
6662,122.336456,269.097036,315.884681,143.794996
6698,55.190082,88.621889,135.924162,38.115672
6641,172.912584,28.361623,144.1947,159.282925
6445,91.57032,230.863016,279.151905,111.060218
6334,98.619462,239.141125,286.576359,118.499137
7042,76.369063,219.095075,268.316086,99.142914
6757,162.471873,247.936918,330.522059,183.726231
6395,99.072653,250.621496,293.907384,124.86079
6502,89.229655,229.947784,277.308164,109.358612
6816,74.528941,197.062001,239.194187,90.427489
6763,92.834071,233.685211,281.094788,114.122837
6450,100.306735,241.643631,289.62157,121.685584
6981,76.431461,220.191667,268.461858,99.106886
6581,88.153309,227.244418,275.110292,107.655805
6695,76.849992,214.272797,262.424331,94.451859
7008,96.257767,236.849259,283.840057,116.198731
6563,81.587014,219.057952,266.950593,99.133846
6776,120.517955,267.02013,312.489035,139.977771
6648,88.14011,232.889697,279.485126,110.536805
6562,76.004272,213.624422,261.703541,93.639509
6848,90.628268,231.106704,278.524811,109.668172
7013,100.585305,240.850186,288.463201,120.75149
6584,82.396632,219.082709,267.151745,99.399823
7004,84.009507,221.596044,268.979519,101.643427
6200,84.442134,223.022614,270.767561,102.105473
7030,205.990205,50.50634,127.173385,182.263199
6711,113.585185,250.457549,288.319172,139.006051
6643,23.005744,152.854095,198.632779,34.685624
6282,92.298248,235.020748,279.220386,111.90267
6373,41.55662,135.561303,181.326263,25.529081
6747,149.877916,233.015787,313.783235,183.337549
6536,110.614466,253.901978,301.235685,133.085758
6645,136.047632,194.002746,277.550292,158.837624
6429,124.0985,266.3117,312.9146,145.3016
6465,85.117322,222.808931,270.4326,102.69825
6680,92.026508,233.073663,279.985989,111.733392
6911,89.995905,230.295914,278.030461,110.07482
6896,109.666744,249.53208,296.972269,129.265805
7006,87.973835,228.657972,275.932561,108.014283
6071,85.04413,222.598293,270.045549,102.734839
6665,112.372368,254.689219,302.834195,134.754194
6921,76.090312,219.945144,266.581281,98.725468
6246,92.883144,232.692599,280.923983,113.237751
6380,171.970263,311.900545,357.760217,197.584686
6520,93.819621,234.004975,281.373355,114.471227
6639,194.867013,47.320441,125.185623,175.283016
6750,90.93934,232.010768,278.585062,110.918066
